ArcGIS Pro,CitySim,GRASS GIS,Ladybug,SAGA GIS,SimStadt,Weather data,doy,month,diff_ArcGIS Pro,diff_p_ArcGIS Pro,diff_CitySim,diff_p_CitySim,diff_GRASS GIS,diff_p_GRASS GIS,diff_Ladybug,diff_p_Ladybug,diff_SAGA GIS,diff_p_SAGA GIS,diff_SimStadt,diff_p_SimStadt
0.22,0.54,1.2,0.48,3.12,0.39,0.63,327,11,0.41,-0.66,0.09,-0.14,0.57,0.91,0.15,-0.24,2.49,3.96,0.24,-0.38
0.2,0.46,1.17,0.48,3.11,0.4,0.62,328,11,0.42,-0.68,0.17,-0.27,0.55,0.88,0.14,-0.23,2.49,3.98,0.23,-0.37
0.2,0.43,1.15,0.48,3.11,0.39,0.64,329,11,0.44,-0.69,0.21,-0.33,0.51,0.79,0.16,-0.25,2.46,3.83,0.25,-0.39
0.16,0.43,1.13,0.48,3.1,0.41,0.58,330,11,0.42,-0.72,0.15,-0.26,0.55,0.94,0.1,-0.18,2.52,4.32,0.17,-0.3
0.15,0.43,1.11,0.43,3.1,0.37,0.51,331,11,0.36,-0.7,0.08,-0.15,0.6,1.16,0.09,-0.17,2.58,5.03,0.15,-0.28
0.17,0.39,1.09,0.47,3.1,0.39,0.65,332,11,0.48,-0.74,0.26,-0.4,0.44,0.68,0.17,-0.27,2.45,3.78,0.26,-0.4
0.17,0.43,1.07,0.39,3.1,0.32,0.52,333,11,0.35,-0.67,0.1,-0.18,0.55,1.05,0.13,-0.26,2.57,4.92,0.2,-0.39
0.17,0.38,1.05,0.39,3.1,0.32,0.49,334,11,0.32,-0.66,0.11,-0.23,0.56,1.14,0.11,-0.22,2.61,5.28,0.17,-0.35
0.13,0.38,1.16,0.47,3.1,0.39,0.61,335,12,0.48,-0.78,0.24,-0.39,0.55,0.9,0.14,-0.24,2.49,4.08,0.22,-0.36
0.13,0.42,1.14,0.41,3.11,0.35,0.51,336,12,0.38,-0.74,0.09,-0.17,0.63,1.23,0.1,-0.2,2.6,5.06,0.16,-0.32
0.12,0.37,1.13,0.37,3.12,0.32,0.46,337,12,0.34,-0.74,0.08,-0.18,0.67,1.46,0.09,-0.19,2.66,5.8,0.14,-0.3
0.12,0.36,1.11,0.38,3.12,0.32,0.49,338,12,0.37,-0.75,0.13,-0.26,0.62,1.25,0.11,-0.23,2.63,5.32,0.17,-0.35
0.11,0.37,1.1,0.38,3.13,0.32,0.49,339,12,0.37,-0.77,0.11,-0.23,0.61,1.25,0.11,-0.22,2.65,5.43,0.16,-0.34
0.14,0.37,1.08,0.36,3.14,0.3,0.46,340,12,0.32,-0.69,0.09,-0.19,0.62,1.35,0.1,-0.22,2.68,5.84,0.15,-0.34
0.12,0.33,1.07,0.35,3.16,0.3,0.46,341,12,0.34,-0.73,0.13,-0.28,0.61,1.34,0.11,-0.24,2.7,5.91,0.16,-0.35
0.12,0.32,1.06,0.38,0.0,0.33,0.51,342,12,0.39,-0.77,0.19,-0.37,0.55,1.08,0.13,-0.25,0.51,-1.0,0.18,-0.36
0.1,0.36,1.04,0.39,0.0,0.33,0.51,343,12,0.41,-0.81,0.15,-0.3,0.54,1.06,0.12,-0.23,0.51,-1.0,0.17,-0.34
0.1,0.36,1.03,0.35,0.0,0.29,0.49,344,12,0.39,-0.79,0.13,-0.27,0.54,1.09,0.14,-0.29,0.49,-1.0,0.2,-0.41
0.1,0.32,1.02,0.31,0.0,0.27,0.39,345,12,0.3,-0.76,0.07,-0.17,0.63,1.62,0.08,-0.2,0.39,-1.0,0.12,-0.31
0.11,0.29,1.02,0.35,0.0,0.31,0.43,346,12,0.32,-0.75,0.14,-0.32,0.58,1.36,0.08,-0.19,0.43,-1.0,0.12,-0.29
0.08,0.28,1.0,0.35,0.0,0.31,0.44,347,12,0.36,-0.82,0.15,-0.35,0.56,1.27,0.09,-0.19,0.44,-1.0,0.13,-0.29
0.08,0.33,0.99,0.41,0.0,0.35,0.55,348,12,0.46,-0.85,0.22,-0.4,0.44,0.8,0.14,-0.25,0.55,-1.0,0.19,-0.35
0.08,0.39,0.98,0.34,0.0,0.3,0.45,349,12,0.37,-0.82,0.07,-0.15,0.53,1.17,0.11,-0.24,0.45,-1.0,0.15,-0.34
0.08,0.32,0.98,0.35,0.0,0.3,0.46,350,12,0.38,-0.82,0.14,-0.3,0.52,1.13,0.11,-0.24,0.46,-1.0,0.15,-0.34
0.08,0.33,0.97,0.33,0.0,0.29,0.42,351,12,0.34,-0.81,0.09,-0.22,0.56,1.33,0.09,-0.21,0.42,-1.0,0.13,-0.3
0.06,0.31,0.97,0.35,0.0,0.31,0.44,352,12,0.38,-0.86,0.13,-0.3,0.53,1.2,0.09,-0.21,0.44,-1.0,0.13,-0.3
0.06,0.33,0.97,0.35,0.0,0.3,0.48,353,12,0.41,-0.87,0.15,-0.31,0.49,1.03,0.13,-0.27,0.48,-1.0,0.18,-0.37
0.06,0.33,0.97,0.35,0.0,0.3,0.48,354,12,0.42,-0.87,0.16,-0.32,0.48,0.99,0.14,-0.28,0.48,-1.0,0.19,-0.39
0.06,0.33,0.96,0.32,0.0,0.28,0.42,355,12,0.36,-0.85,0.1,-0.23,0.54,1.27,0.1,-0.24,0.42,-1.0,0.14,-0.34
0.06,0.3,0.96,0.31,0.0,0.26,0.41,356,12,0.35,-0.85,0.11,-0.26,0.55,1.35,0.1,-0.25,0.41,-1.0,0.15,-0.36
0.06,0.29,0.97,0.3,0.0,0.26,0.39,357,12,0.32,-0.84,0.1,-0.26,0.58,1.49,0.09,-0.23,0.39,-1.0,0.12,-0.32
0.06,0.28,0.97,0.3,0.0,0.26,0.41,358,12,0.35,-0.84,0.13,-0.31,0.56,1.36,0.11,-0.26,0.41,-1.0,0.15,-0.36
0.08,0.29,0.97,0.35,0.0,0.29,0.5,359,12,0.42,-0.84,0.21,-0.42,0.47,0.94,0.15,-0.3,0.5,-1.0,0.21,-0.41
0.08,0.33,0.97,0.38,0.0,0.33,0.53,360,12,0.45,-0.84,0.2,-0.38,0.44,0.84,0.15,-0.28,0.53,-1.0,0.2,-0.38
0.1,0.36,0.98,0.3,0.0,0.26,0.39,361,12,0.3,-0.75,0.03,-0.08,0.58,1.48,0.09,-0.24,0.39,-1.0,0.13,-0.34
0.07,0.28,0.98,0.36,0.0,0.31,0.51,362,12,0.44,-0.87,0.22,-0.44,0.47,0.94,0.15,-0.29,0.51,-1.0,0.2,-0.39
0.1,0.34,0.99,0.4,0.0,0.34,0.56,363,12,0.46,-0.82,0.22,-0.39,0.43,0.76,0.16,-0.29,0.56,-1.0,0.22,-0.39
0.1,0.38,0.99,0.39,0.0,0.33,0.53,364,12,0.43,-0.82,0.15,-0.28,0.47,0.89,0.14,-0.27,0.53,-1.0,0.19,-0.37
0.13,0.36,1.01,0.36,0.0,0.32,0.48,365,12,0.35,-0.73,0.12,-0.24,0.53,1.11,0.12,-0.25,0.48,-1.0,0.16,-0.34
